"","gsis_id","full_name"
"643","00-0000758","Roy Barker"
"644","00-0014376","Craig Sauer"
"645","00-0001151","Pete Bercich"
"646","00-0012519","Mitch Palmer"
"647","00-0012679","Bryce Paup"
"648","00-0001785","Bubby Brister"
"649","00-0015286","Robert Smith"
"650","00-0012515","David Palmer"
"651","00-0015822","Korey Stringer"
"652","00-0011068","Johnny McWilliams"
"653","00-0009165","Joey Kent"
"654","00-0014562","Lance Scott"
"655","00-0009620","Antonio Langham"
"656","00-0019209","Reggie Grimes"
"657","00-0012423","Chuck Osborne"
"658","00-0014733","Harold Shaw"
"659","00-0019203","Terrance Beadles"
"660","00-0019205","Adam Davis"
"661","00-0008054","Sale Isaia"
"662","00-0014130","Todd Rucci"
"663","00-0003837","Antico Dalton"
"664","00-0019283","John Eskridge"
"665","00-0008594","Olrick Johnson"
"666","00-0011097","Marc Megna"
"667","00-0016269","Henry Thomas"
"668","00-0001272","Michael Bishop"
"669","00-0005600","John Friesz"
"670","00-0006989","Raymont Harris"
"671","00-0012675","Jeff Paulk"
"672","00-0005893","Tony George"
"673","00-0000429","Bruce Armstrong"
"674","00-0009604","Max Lane"
"675","00-0019080","Josh Rawlings"
"676","00-0001281","Eric Bjornson"
"677","00-0002544","Chris Calloway"
"678","00-0018560","Tony Hamler"
"679","00-0002613","Chris Canty"
"680","00-0016184","Corey Terry"
"681","00-0012808","Darren Perry"
"682","00-0006628","Mike Halapin"
"683","00-0017169","Phillip Ward"
"684","00-0008738","Donta Jones"
"685","00-0016534","Billy Joe Tolliver"
"686","00-0011341","Brian Milne"
"687","00-0011573","Jerald Moore"
"688","00-0019589","Austin Wheatley"
"689","00-0006047","Andrew Glover"
"690","00-0008704","Charlie Jones"
"691","00-0004909","Derek Engler"
"692","00-0017342","Andre Weathers"
"693","00-0009833","Bashir Levingston"
"694","00-0010805","Ramos McDonald"
"695","00-0019683","Jeremiah Parker"
"696","00-0006631","Ryan Hale"
"697","00-0017799","George Williams"
"698","00-0015818","Vernon Strickland"
"699","00-0002930","Mike Cherry"
"700","00-0017006","Craig Walendy"
"701","00-0013425","Dawud Rasheed"
"702","00-0019202","Maurice Anderson"
"703","00-0006149","Dwayne Gordon"
"704","00-0010028","Ernie Logan"
"705","00-0012603","Bernie Parmalee"
"706","00-0010089","Greg Lotysz"
"707","00-0001783","Vincent Brisby"
"708","00-0015759","Dwight Stone"
"709","00-0008575","Malcolm Johnson"
"710","00-0012595","Nathan Parks"
"711","00-0009038","Napoleon Kaufman"
"712","00-0014712","Larry Shannon"
"713","00-0011187","Terry Mickens"
"714","00-0013770","Andre Rison"
"715","00-0010318","Mike Mamula"
"716","00-0004031","Pernell Davis"
"717","00-0008306","Greg Jefferson"
"718","00-0013186","Ron Powlus"
"719","00-0000534","Darnell Autry"
"720","00-0017209","Chris Warren"
"721","00-0019489","Thomas Hamner"
"722","00-0016821","Alex Van Dyke"
"723","00-0004085","Dermontti Dawson"
"724","00-0003173","Nakia Codie"
"725","00-0007296","Kevin Henry"
"726","00-0011902","Tom Myslinski"
"727","00-0019140","Destry Wright"
"728","00-0016198","Larry Tharpe"
"729","00-0003388","Chris Conrad"
"730","00-0012400","Tony Orlandini"
"731","00-0007120","Courtney Hawkins"
"732","00-0010092","Kamil Loud"
"733","00-0003895","Tony Darden"
"734","00-0004208","Tim Denton"
"735","00-0009849","Darryll Lewis"
"736","00-0007097","Armon Hatcher"
"737","00-0008126","Greg Jackson"
"738","00-0015267","Neil Smith"
"739","00-0019001","Wayne Hampton"
"740","00-0014939","Antoine Simpson"
"741","00-0016022","Pene Talamaivao"
"742","00-0004609","Mike Dumas"
"743","00-0006078","Kevin Gogan"
"744","00-0016568","Steve Tovar"
"745","00-0007075","Richard Harvey"
"746","00-0007433","Eric Hill"
"747","00-0013548","John Reeves"
"748","00-0011640","Moses Moreno"
"749","00-0002459","Kenny Bynum"
"750","00-0002873","Robert Chancey"
"751","00-0005110","Jermaine Fazande"
"752","00-0014179","Reggie Rusk"
"753","00-0018608","Reggie Davis"
"754","00-0016929","Fred Vinson"
"755","00-0015808","Rahmaan Streater"
"756","00-0019495","Tim Watson"
"757","00-0009148","Cortez Kennedy"
"758","00-0002027","Reggie Brown"
"759","00-0000999","Frank Beede"
"760","00-0008355","Marcus Jenkins"
"761","00-0019418","Dwan Epps"
"762","00-0010029","James Logan"
